tag,answers,mod,id
1,1,85,49
2,1,85,49
3,1,85,49
4,1,85,49
5,1,85,49
6,1,85,49
7,1,85,49
8,1,85,49
9,1,85,49
10,1,85,49
11,1,85,49
12,1,85,49
13,1,85,49
14,1,85,49
15,1,85,49
16,2,85,239
17,2,85,239
18,2,85,239
19,2,85,239
20,2,85,239
21,2,85,239
22,2,85,239
23,2,85,239
24,2,85,239
25,3,85,402
26,3,85,402
27,3,85,402
28,3,85,402
29,3,85,402
30,3,85,402
31,3,85,402
32,3,85,402
33,3,85,402
34,3,85,402
35,3,85,402
36,3,85,402
37,3,85,402
38,3,85,402
39,3,85,402
40,3,85,402
41,3,85,402
42,4,85,52
43,4,85,52
44,4,85,52
45,4,85,52
46,4,85,52
47,4,85,52
48,4,85,52
49,4,85,52
50,4,85,52
51,4,85,52
52,4,85,52
53,4,85,52
54,4,85,52
55,4,85,52
56,4,85,52
57,4,85,52
58,4,85,52
59,5,85,81
60,5,85,81
61,5,85,81
62,5,85,81
63,5,85,81
64,5,85,81
65,5,85,81
66,5,85,81
67,5,85,81
68,5,85,81
69,5,85,81
70,5,85,81
71,5,85,81
72,5,85,81
73,5,85,81
74,5,85,81
75,5,85,81
76,5,85,81
77,5,85,81
78,5,85,81
79,6,85,54
80,6,85,54
81,6,85,54
82,6,85,54
83,6,85,54
84,6,85,54
85,6,85,54
86,7,85,77
87,7,85,77
88,7,85,77
89,7,85,77
90,7,85,77
91,7,85,77
92,7,85,77
93,7,85,77
94,7,85,77
95,7,85,77
96,7,85,77
97,7,85,77
98,7,85,77
99,7,85,77
100,7,85,77
101,7,85,77
102,8,85,75
103,8,85,75
104,8,85,75
105,8,85,75
106,8,85,75
107,8,85,75
108,8,85,75
109,8,85,75
110,8,85,75
111,8,85,75
112,8,85,75
113,8,85,75
114,8,85,75
115,9,85,223
116,9,85,223
117,9,85,223
118,9,85,223
119,9,85,223
120,9,85,223
121,9,85,223
122,9,85,223
123,9,85,223
124,9,85,223
125,9,85,223
126,9,85,223
127,9,85,223
128,9,85,223
129,10,85,118
130,10,85,118
131,10,85,118
132,10,85,118
133,10,85,118
134,10,85,118
135,11,85,462
136,11,85,462
137,11,85,462
138,11,85,462
139,11,85,462
140,11,85,462
141,11,85,462
142,11,85,462
143,11,85,462
144,11,85,462
145,12,85,68
146,12,85,68
147,12,85,68
148,12,85,68
149,12,85,68
150,12,85,68
151,12,85,68
152,13,85,463
153,13,85,463
154,13,85,463
155,13,85,463
156,13,85,463
157,13,85,463
158,13,85,463
159,13,85,463
160,13,85,463
161,13,85,463
162,14,85,28
163,14,85,28
164,14,85,28
165,15,85,326
166,15,85,326
167,15,85,326
168,15,85,326
169,15,85,326
170,16,85,70
171,16,85,70
172,16,85,70
173,16,85,70
174,16,85,70
175,16,85,70
176,17,85,464
177,17,85,464
178,17,85,464
179,17,85,464
180,17,85,464
181,17,85,464
182,17,85,464
183,18,85,80
184,18,85,80
185,18,85,80
186,18,85,80
187,18,85,80
188,18,85,80
189,18,85,80
190,18,85,80
191,18,85,80
192,18,85,80
193,18,85,80
194,18,85,80
