words,initial_forms
2 ндфл,2ндфл
2ндфл,2ндфл
2-ндфл,2ндфл
два ндфл,2ндфл
3 ндфл,3ндфл
3ндфл,3ндфл
3-ндфл,3ндфл
три ндфл,3ндфл
6 ндфл,6ндфл
6ндфл,6ндфл
6-ндфл,6ндфл
шесть ндфл,6ндфл
4 фсс,4фсс
4фсс,4фсс
4-фсс,4фсс
четыре фсс,4фсс
сзв-м,сзвм
сзв м,сзвм
сзвм,сзвм
сзв-стаж,сзв_стаж
сзв стаж,сзв_стаж
сзвстаж,сзв_стаж
ипать,ип
усна,усн
основный,основной
проводок,проводка
чека,чек
глбух,главбух
сопа,соп
косг,косгу
ст,статья
г,год
допы,дополнительное
доп,дополнительное
ос,основное_средство
счет-фактура,счетфактура
счет фактура,счетфактура
сф,счетфактура
фактура,счетфактура
счета-фактуры,счетфактура
заболеть,болеть
нс,наркотики
подать,сдать
посчитать,считать
подсчитать,считать
зарегистрировать,регистрировать
подменить,менять
окончить,закончить
выплатить,платить
оплата,платить
оплачивается,платить
оплатить,платить
заплатить,платить
уплатить,платить
перечислять,платить
застраховывать,страховать
заболевать,болеть
заблокировать,блокировать
низко,мало
менее,мало
ранее,рано
высоко,свыше
более,свыше
больше,свыше
поменять,менять
сформировать,формировать
сделать,делать
подавать,сдавать
внести исправления,изменить
внести изменения,изменить
исправить,изменить
предприниматель,ип
юбилей,праздник
новый год,праздник
новогодний,праздник
день рождение,праздник
праздничный день,праздник
клиент,контрагент
партнер,контрагент
листок,лист
голова,головное_подразделение
автомобиль,машина
транспортное средство,машина
работник,сотрудник
работница,сотрудник
сотрудница,сотрудник
наказание,санкция
неустойка,санкция
штраф,санкция
штрафная санкция,санкция
пеня,санкция
госпошлина,пошлина
государственная пошлина,пошлина
юр лицо,юрлицо
физ лицо,физлицо
физическое лицо,физлицо
юридическое лицо,юрлицо
наличка,наличные
депозит,вклад
иностранный гражданин,иностранец
фирма,организация
компания,организация
генеральный директор,директор
дебиторская задолженность,дебиторка
кредиторская задолженность,кредиторка
больничный лист,больничный
лист нетрудоспособности,больничный
сальдо,итог
специальная оценка,спецоценка
платежка,платежное_поручение
обособка,обособленное_подразделение
код бюджетной классификации,кбк
соут,спецоценка
имнс,фнс
инфс,фнс
ифнс,фнс
авто,машина
ерсв,рсв
вс рф,верховный суд
зп,зарплата
заработная плата,зарплата
акт приемпередачи,акт_приема_передачи
уступка права требования,цессия
лимит,предел
сувенир,подарок
презент,подарок
наркотические средства,наркотики
анти спид,антивич
анти вич,антивич
антиспид,антивич
бензин,гмс
топливо,гмс
горючее,гмс
болеть,заболеть
болеть,приболеть
совместительство,совместитель
переход,перейти
