words,initial_forms
посчитать,считать
подсчитать,считать
зарегистрировать,регистрировать
подменить,менять
окончить,закончить
выплатить,платить
оплата,платить
оплачивается,платить
оплатить,платить
заплатить,платить
уплатить,платить
перечислять,платить
застраховывать,страховать
заболевать,болеть
заблокировать,блокировать
низко,мало
менее,мало
ранее,рано
высоко,свыше
более,свыше
больше,свыше
посчитать,считать
поменять,менять
сформировать,формировать
сделать,делать
подавать,сдавать
внести исправления,изменить
внести изменения,изменить
исправить,изменить
предприниматель,ип
юбилей,праздник
новый год,праздник
новогодний,праздник
день рождение,праздник
праздничный день,праздник
клиент,контрагент
партнер,контрагент
листок,лист
голова,головное_подразделение
автомобиль,машина
транспортное средство,машина
работник,сотрудник
работница,сотрудник
сотрудница,сотрудник
наказание,санкция
неустойка,санкция
штраф,санкция
штрафная санкция,санкция
пеня,санкция
госпошлина,пошлина
государственная пошлина,пошлина
юр лицо,юрлицо
физ лицо,физлицо
физическое лицо,физлицо
юридическое лицо,юрлицо
наличка,наличные
депозит,вклад
иностранный гражданин,иностранец
фирма,организация
компания,организация
генеральный директор,директор
дебиторская задолженность,дебиторка
кредиторская задолженность,кредиторка
больничный лист,больничный
лист нетрудоспособности,больничный
сальдо,итог
специальная оценка,спецоценка
платежка,платежное_поручение
обособка,обособленное_подразделение
код бюджетной классификации,кбк
соут,спецоценка
имнс,фнс
инфс,фнс
ифнс,фнс
авто,машина
ерсв,рсв
код бюджетной классификации,кбк
вс рф,верховный суд
зп,зарплата
заработная плата,зарплата
сф,счетфактура
акт приемпередачи,акт_приема_передачи
уступка права требования,цессия
лимит,предел
сувенир,подарок
презент,подарок
наркотические средства,наркотики
анти спид,антивич
анти вич,антивич
керосин,гмс
антиспид,антивич
нефтепродукт,гмс
смазочные материалы,гмс
смазка,гмс
горюче смазочные материалы,гмс
горюче-смазочные материалы,гмс
автомасло,гмс
авиакеросин,гмс
бензин,гмс
топливо,гмс
горючее,гмс
болеть,заболеть
болеть,приболеть
совместительство,совместитель
переход,перейти
государственная гарантия,госгарантия
гендир,руководитель
генеральный директор,руководитель
гендиректор,руководитель
директор,руководитель
капитальный ремонт,капремонт
едпоставщик,единственный поставщик
автошины,шины
диски,шины
покрышки,шины
колеса,шины
огнезащитная обработка,огнезащита
спортивные товары,спорттовары
спортивный инвентарь,спорттовары
спортивный снаряд,спорттовары
спортивное оборудование,спорттовары
спортинвентарь,спорттовары
заключение,заключать
медицинские услуги,медуслуги
пример,образец
заполнение,заполнить
формируется,формировать
формирование,формировать
смсп,мсп
план_график закупки,план_график
план_график 44-фз,план_график
план_график закупки 44-фз,план_график
закон 44фз,44фз
закон 223фз,223фз
закупочная процедура,закупка
утверждение,утверждать
утверждается,утверждать
бухгалтерский отчетность,бухотчетность
финансовая отчетность,бухотчетность
финотчетность,бухотчетность
бурый,зеленый
